Ashley Lab	US/CA/Stanford				
Date	heart		calories		steps
8/8/2016 16:24:26	89	8/8/2016 14:53:00	0.8727999926	8/8/2016 14:53:00	0
8/8/2016 16:24:28	89	8/8/2016 14:54:00	0.8727999926	8/8/2016 14:54:00	0
8/8/2016 16:24:31	89	8/8/2016 14:55:00	0.8727999926	8/8/2016 14:55:00	0
8/8/2016 16:24:34	89	8/8/2016 14:56:00	0.8727999926	8/8/2016 14:56:00	0
8/8/2016 16:24:37	89	8/8/2016 14:57:00	0.8727999926	8/8/2016 14:57:00	0
8/8/2016 16:24:38	87	8/8/2016 14:58:00	0.8727999926	8/8/2016 14:58:00	0
8/8/2016 16:24:39	87	8/8/2016 14:59:00	0.8727999926	8/8/2016 14:59:00	0
8/8/2016 16:24:40	86	8/8/2016 15:00:00	0.8727999926	8/8/2016 15:00:00	0
8/8/2016 16:24:43	86	8/8/2016 15:01:00	0.8727999926	8/8/2016 15:01:00	0
8/8/2016 16:24:46	86	8/8/2016 15:02:00	0.8727999926	8/8/2016 15:02:00	0
8/8/2016 16:24:48	87	8/8/2016 15:03:00	0.8727999926	8/8/2016 15:03:00	0
8/8/2016 16:24:51	87	8/8/2016 15:04:00	0.8727999926	8/8/2016 15:04:00	0
8/8/2016 16:24:54	87	8/8/2016 15:05:00	0.8727999926	8/8/2016 15:05:00	0
8/8/2016 16:24:57	87	8/8/2016 15:06:00	0.8727999926	8/8/2016 15:06:00	0
8/8/2016 16:25:00	87	8/8/2016 15:07:00	0.8727999926	8/8/2016 15:07:00	0
8/8/2016 16:25:03	87	8/8/2016 15:08:00	0.8727999926	8/8/2016 15:08:00	0
8/8/2016 16:25:04	88	8/8/2016 15:09:00	0.8727999926	8/8/2016 15:09:00	0
8/8/2016 16:25:07	88	8/8/2016 15:10:00	0.8727999926	8/8/2016 15:10:00	0
8/8/2016 16:25:10	88	8/8/2016 15:11:00	0.8727999926	8/8/2016 15:11:00	0
8/8/2016 16:25:11	89	8/8/2016 15:12:00	0.8727999926	8/8/2016 15:12:00	0
8/8/2016 16:25:14	89	8/8/2016 15:13:00	0.8727999926	8/8/2016 15:13:00	0
8/8/2016 16:25:17	89	8/8/2016 15:14:00	0.8727999926	8/8/2016 15:14:00	0
8/8/2016 16:25:20	89	8/8/2016 15:15:00	0.8727999926	8/8/2016 15:15:00	0
8/8/2016 16:25:21	90	8/8/2016 15:16:00	0.8727999926	8/8/2016 15:16:00	0
